Chip_000	39DF	ITuttiError; TPPadError; PORCycleError; 
Chip_018	180D	POR AvvioError; Out0Error; Out1Error; Out2Error; Out3Error; Out4Error; Out5Error; Out6Error; ITuttiError; IPariError; IDispariError; IDisError; TPPadError; PORCycleError; COMError; 
Chip_018	180D	POR AvvioError; MISOError; Out0Error; Out1Error; Out2Error; Out3Error; Out4Error; Out5Error; Out6Error; ITuttiError; IPariError; IDispariError; IDisError; TPPadError; PORCycleError; COMError; 
Chip_018	180D	POR AvvioError; MISOError; Out0Error; Out1Error; Out2Error; Out3Error; Out4Error; Out5Error; Out6Error; ITuttiError; IPariError; IDispariError; IDisError; TPPadError; PORCycleError; COMError; 
Chip_019	37FF	SCurveError; 
Chip_019	37FF	SCurveError; 
Chip_019	3FEF	Out7Error; 
Chip_020	1D0F	Out0Error; Out1Error; Out2Error; Out3Error; Out4Error; Out5Error; Out6Error; Out7Error; ITuttiError; IPariError; IDispariError; TPPadError; COMError; 
Chip_020	190D	POR AvvioError; Out0Error; Out1Error; Out2Error; Out3Error; Out4Error; Out5Error; Out6Error; Out7Error; ITuttiError; IPariError; IDispariError; TPPadError; PORCycleError; COMError; 
Chip_020	37FF	SCurveError; 
Chip_021	Tutto ok
Chip_022	Tutto ok
Chip_023	Tutto ok
Chip_024	3FEF	Out1Error; 
Chip_024	1C0F	Out0Error; Out1Error; Out2Error; Out3Error; Out4Error; Out5Error; Out6Error; Out7Error; ITuttiError; IPariError; IDispariError; IDisError; TPPadError; COMError; 
Chip_024	1F0E	POError; MISOError; Out0Error; Out1Error; Out2Error; Out3Error; Out4Error; Out5Error; Out6Error; Out7Error; ITuttiError; IPariError; IDispariError; COMError; 
Chip_025	Tutto ok
Chip_026	1E0D	POR AvvioError; MISOError; Out0Error; Out1Error; Out2Error; Out3Error; Out4Error; Out5Error; Out6Error; Out7Error; ITuttiError; IPariError; IDispariError; IDisError; COMError; 
Chip_026	1FFF	COMError; 
Chip_026	3FEF	Out7Error; 
Chip_027	37FF	SCurveError; 
Chip_027	Tutto ok
Chip_028	Tutto ok
Chip_029	1B0D	POR AvvioError; Out0Error; Out1Error; Out2Error; Out3Error; Out4Error; Out5Error; Out6Error; Out7Error; ITuttiError; IPariError; IDispariError; PORCycleError; COMError; 
Chip_029	3FEF	Out1Error; 
Chip_029	37FF	SCurveError; 
Chip_030	37FF	SCurveError; 
Chip_030	180D	POR AvvioError; MISOError; Out0Error; Out1Error; Out2Error; Out3Error; Out5Error; Out6Error; Out7Error; ITuttiError; IPariError; IDispariError; IDisError; TPPadError; PORCycleError; COMError; 
Chip_030	37FF	SCurveError; 
Chip_031	3FEF	Out6Error; 
Chip_031	Tutto ok
Chip_032	3FDF	ITuttiError; 
Chip_032	37FF	SCurveError; 
Chip_032	37FF	SCurveError; 
Chip_033	1FCD	POR AvvioError; MISOError; Out0Error; Out1Error; Out2Error; Out3Error; Out4Error; Out5Error; Out6Error; Out7Error; ITuttiError; COMError; 
Chip_033	Tutto ok
Chip_034	37FF	SCurveError; 
Chip_034	37FF	SCurveError; 
Chip_034	1FFF	COMError; 
Chip_035	17FF	SCurveError; COMError; 
Chip_035	190D	POR AvvioError; MISOError; Out0Error; Out1Error; Out2Error; Out3Error; Out4Error; Out5Error; Out6Error; Out7Error; ITuttiError; IPariError; IDispariError; TPPadError; PORCycleError; COMError; 
Chip_035	1FBF	IPariError; COMError; 
Chip_036	37FF	SCurveError; 
Chip_036	17FF	SCurveError; COMError; 
Chip_036	1F8D	POR AvvioError; Out4Error; ITuttiError; IPariError; COMError; 
Chip_037	37FF	SCurveError; 
Chip_037	37FF	SCurveError; 
Chip_037	Tutto ok
Chip_038	1E0F	Out0Error; Out1Error; Out2Error; Out3Error; Out4Error; Out5Error; Out6Error; Out7Error; ITuttiError; IPariError; IDispariError; IDisError; COMError; 
