N,M,Chip#,Offset,Ch,TRANS,WIDTH
1,1,15,1,15,201,2,0,201,,1000.003102	284.769772	-2.898836,1000.003102	284.769772	-2.898836
1,1,15,1,15,201,0,0,201,,1001.003568	178.411306	-1.192994,1001.003568	178.411306	-1.192994
1,1,15,1,15,201,1,0,201,,1001.134904	133.975496	-1.355317,1001.134904	133.975496	-1.355317
1,1,15,1,15,033,5,0,033,,1000.031672	179.281130	-6.424136,1000.031672	179.281130	-6.424136
1,1,15,1,15,033,7,0,033,,993.019085	187.317065	-6.870083,993.019085	187.317065	-6.870083
1,1,15,1,15,033,1,0,033,,1000.904323	209.448140	-7.399648,1000.904323	209.448140	-7.399648
1,1,15,1,15,033,3,0,033,,1002.720651	168.878944	-5.483488,1002.720651	168.878944	-5.483488
1,1,15,1,15,033,4,0,033,,1007.072431	146.049125	-5.417923,1007.072431	146.049125	-5.417923
1,1,15,1,15,033,6,0,033,,1004.364244	166.404989	-6.074418,1004.364244	166.404989	-6.074418
1,1,15,1,15,033,0,0,033,,993.523952	193.502666	-4.943903,993.523952	193.502666	-4.943903
1,1,15,1,15,033,2,0,033,,1001.583734	162.706321	-4.985309,1001.583734	162.706321	-4.985309
1,1,15,1,15,239,0,0,239,,1001.294782	192.486392	-1.821532,1001.294782	192.486392	-1.821532
1,1,15,1,15,239,2,0,239,,1000.735492	195.661558	-1.323429,1000.735492	195.661558	-1.323429
1,1,15,1,15,239,4,0,239,,1001.003986	210.975729	-1.401620,1001.003986	210.975729	-1.401620
1,1,15,1,15,239,6,0,239,,1000.995157	187.754684	-1.450978,1000.995157	187.754684	-1.450978
1,1,15,1,15,239,1,0,239,,1000.737418	178.715961	-1.295374,1000.737418	178.715961	-1.295374
1,1,15,1,15,239,3,0,239,,1000.999997	179.799833	-1.314922,1000.999997	179.799833	-1.314922
1,1,15,1,15,239,5,0,239,,1001.234368	214.444166	-1.544992,1001.234368	214.444166	-1.544992
1,1,15,1,15,239,7,0,239,,999.288384	227.020517	-1.768123,999.288384	227.020517	-1.768123
1,1,15,1,15,034,7,0,034,,1000.849310	121.744300	-2.810593,1000.849310	121.744300	-2.810593
1,1,15,1,15,034,5,0,034,,991.518198	141.092610	-4.755092,991.518198	141.092610	-4.755092
1,1,15,1,15,034,3,0,034,,989.976984	144.276326	-3.087151,989.976984	144.276326	-3.087151
1,1,15,1,15,034,1,0,034,,1001.576598	157.882394	-3.229283,1001.576598	157.882394	-3.229283
1,1,15,1,15,034,6,0,034,,1004.061741	170.872381	-3.395488,1004.061741	170.872381	-3.395488
